titleid,title,weekday,src
732988,올가미,tue,https://shared-comic.pstatic.net/thumb/webtoon/732988/thumbnail/thumbnail_IMAG10_55564e72-ede9-4a04-b8d2-600d30d9712c.JPG
738145,숲속의 담,tue,https://shared-comic.pstatic.net/thumb/webtoon/738145/thumbnail/thumbnail_IMAG10_7c33c185-5110-4c83-9f42-ad2a6951c359.jpg
733458,3cm 헌터,tue,https://shared-comic.pstatic.net/thumb/webtoon/733458/thumbnail/thumbnail_IMAG10_28672aca-7303-4e2a-8ad3-b14f6c449455.jpg
703850,자판귀,tue,https://shared-comic.pstatic.net/thumb/webtoon/703850/thumbnail/thumbnail_IMAG10_d093ab2d-a006-457b-92b5-1da097bc3af1.jpg
746535,언메이크,tue,https://shared-comic.pstatic.net/thumb/webtoon/746535/thumbnail/thumbnail_IMAG10_f33090f6-0870-481e-ba32-f1a794714115.jpg
738144,별종,tue,https://shared-comic.pstatic.net/thumb/webtoon/738144/thumbnail/thumbnail_IMAG10_8b6de2cc-49c4-456c-a786-9dd895f20253.jpg
626906,패밀리 사이즈,tue,https://shared-comic.pstatic.net/thumb/webtoon/626906/thumbnail/title_thumbnail_20150810235651_t83x90.jpg
747666,도를 아십니까,tue,https://shared-comic.pstatic.net/thumb/webtoon/747666/thumbnail/thumbnail_IMAG10_2a38d3f2-d060-4ce8-91b9-cfacd84bd04a.jpg
731019,그날 죽은 나는,tue,https://shared-comic.pstatic.net/thumb/webtoon/731019/thumbnail/thumbnail_IMAG10_7d99a1a1-28ee-466c-a51d-cd293118b47b.jpg
733006,너에게만 보이는,tue,https://shared-comic.pstatic.net/thumb/webtoon/733006/thumbnail/thumbnail_IMAG10_7e67fce0-1dbb-432f-af0a-dd4645221e46.jpg
733765,저세상 클라스!,tue,https://shared-comic.pstatic.net/thumb/webtoon/733765/thumbnail/thumbnail_IMAG10_211e16c4-82fc-4669-87a5-0b34f8a1b276.jpg
737019,조선홍보대행사 조대박,tue,https://shared-comic.pstatic.net/thumb/webtoon/737019/thumbnail/thumbnail_IMAG10_1131af64-54ce-4d37-8380-bb82168626ac.jpg
745207,필살VS로맨스,tue,https://shared-comic.pstatic.net/thumb/webtoon/745207/thumbnail/thumbnail_IMAG10_58f3f1ae-3344-4cfd-9bdb-2cf919094a9b.jpg
738483,안식의 밤,tue,https://shared-comic.pstatic.net/thumb/webtoon/738483/thumbnail/thumbnail_IMAG10_b243227c-6502-4c39-b9aa-09fde861850c.jpg
739114,아이고 아이고,tue,https://shared-comic.pstatic.net/thumb/webtoon/739114/thumbnail/thumbnail_IMAG10_4d936327-6b73-4887-a2f7-0717e17c80fd.jpg
748045,빛빛빛,tue,https://shared-comic.pstatic.net/thumb/webtoon/748045/thumbnail/thumbnail_IMAG10_75b3ad32-05cc-4072-bd94-91c3828c2b39.jpg
735247,장단에 맞춰줘!,tue,https://shared-comic.pstatic.net/thumb/webtoon/735247/thumbnail/thumbnail_IMAG10_d5424526-3481-40a7-8cac-ac06765ef20d.jpg
723046,하우스키퍼,tue,https://shared-comic.pstatic.net/thumb/webtoon/723046/thumbnail/thumbnail_IMAG10_28f0f8e5-fe43-45e2-b911-1b73c2109dfc.png
400739,에이머,tue,https://shared-comic.pstatic.net/thumb/webtoon/400739/thumbnail/thumbnail_IMAG10_9b32956f-0e80-4d26-afd3-836796eaad25.jpg
670143,헬퍼 2 : 킬베로스,wed,https://shared-comic.pstatic.net/thumb/webtoon/670143/thumbnail/thumbnail_IMAG10_20190617_migrated.jpg
662774,고수,wed,https://shared-comic.pstatic.net/thumb/webtoon/662774/thumbnail/thumbnail_IMAG10_fddc4c8b-fbe6-422c-9777-590d98f4dc9e.jpg
626907,복학왕,wed,https://shared-comic.pstatic.net/thumb/webtoon/626907/thumbnail/title_thumbnail_20150407141027_t83x90.jpg
747269,전지적 독자 시점,wed,https://shared-comic.pstatic.net/thumb/webtoon/747269/thumbnail/thumbnail_IMAG10_55801c29-223f-46a0-a446-2e55d3024e71.jpg
751013,2020 최애캐의 MBTI,wed,https://shared-comic.pstatic.net/thumb/webtoon/751013/thumbnail/thumbnail_IMAG10_088fbe2f-79d5-4d62-b333-45ac4bfffc3c.jpg
728015,모죠의 일지,wed,https://shared-comic.pstatic.net/thumb/webtoon/728015/thumbnail/thumbnail_IMAG10_f31cda1b-72fa-409e-b1ab-9c4a4e212696.jpg
750558,로어 올림푸스,wed,https://shared-comic.pstatic.net/thumb/webtoon/750558/thumbnail/thumbnail_IMAG10_b958aaec-eff0-4cd7-b11b-3ad6237408e7.jpg
738694,튜토리얼 탑의 고인물,wed,https://shared-comic.pstatic.net/thumb/webtoon/738694/thumbnail/thumbnail_IMAG10_728d40b3-1224-4e00-b7a8-d16d9adbe137.jpg
701535,격기3반,wed,https://shared-comic.pstatic.net/thumb/webtoon/701535/thumbnail/thumbnail_IMAG10_48867315-58f2-44fb-913c-25cfe2cd307d.jpg
738143,여주실격!,wed,https://shared-comic.pstatic.net/thumb/webtoon/738143/thumbnail/thumbnail_IMAG10_c5ff7b29-6c8c-4939-8a03-2298523bcaf9.jpg
749639,남주의 첫날밤을 가져버렸다,wed,https://shared-comic.pstatic.net/thumb/webtoon/749639/thumbnail/thumbnail_IMAG10_51043632-6c82-4e51-ab7a-5945724f0df8.jpg
728126,고삼무쌍,wed,https://shared-comic.pstatic.net/thumb/webtoon/728126/thumbnail/thumbnail_IMAG10_0ee45437-dc90-4fe4-8305-dc962f74b861.jpg
750826,빌드업,wed,https://shared-comic.pstatic.net/thumb/webtoon/750826/thumbnail/thumbnail_IMAG10_ffc8691b-a61c-42e5-9bce-51aac85e447c.jpg
717481,일렉시드,wed,https://shared-comic.pstatic.net/thumb/webtoon/717481/thumbnail/thumbnail_IMAG10_abd208ef-46dd-42ef-942e-df70b9e27386.jpg
736744,캐슬,wed,https://shared-comic.pstatic.net/thumb/webtoon/736744/thumbnail/thumbnail_IMAG10_52c79b5c-7d5e-48ff-a377-ee247b3134bd.jpg
730425,판타지 여동생!,wed,https://shared-comic.pstatic.net/thumb/webtoon/730425/thumbnail/thumbnail_IMAG10_1021f165-b14c-480b-bf82-3e9d622472ea.jpg
750184,나쁜사람,wed,https://shared-comic.pstatic.net/thumb/webtoon/750184/thumbnail/thumbnail_IMAG10_0dd3526a-837d-4278-b779-17277b552cec.jpg
732955,닥터앤닥터 육아일기,wed,https://shared-comic.pstatic.net/thumb/webtoon/732955/thumbnail/thumbnail_IMAG10_404a37ed-7552-41bb-8138-3ea97cc7bb03.jpg
751989,몰랐지만 괜찮아,wed,https://shared-comic.pstatic.net/thumb/webtoon/751989/thumbnail/thumbnail_IMAG10_afecbf7e-4bf8-43a3-8f12-4ab57eb66d6b.jpg
718020,귀곡의 문,wed,https://shared-comic.pstatic.net/thumb/webtoon/718020/thumbnail/thumbnail_IMAG10_7c551d69-62f1-4869-b365-88f38a70553f.jpg
749055,각자의 디데이,wed,https://shared-comic.pstatic.net/thumb/webtoon/749055/thumbnail/thumbnail_IMAG10_0044b373-58c8-4a94-b764-cfdde8b59d79.jpg
710760,이츠마인,wed,https://shared-comic.pstatic.net/thumb/webtoon/710760/thumbnail/thumbnail_IMAG10_0f9651ee-18f9-4fbb-bdf7-cded844fcb6d.jpg
731297,갓물주,wed,https://shared-comic.pstatic.net/thumb/webtoon/731297/thumbnail/thumbnail_IMAG10_df561e4d-07f3-4a43-8098-2449b5f35918.jpg
752533,새벽 두 시의 신데렐라,wed,https://shared-comic.pstatic.net/thumb/webtoon/752533/thumbnail/thumbnail_IMAG10_99af5f62-fb17-40ed-bac0-b6c0ec496a2b.jpg
603159,레사 시즌2~3,wed,https://shared-comic.pstatic.net/thumb/webtoon/603159/thumbnail/thumbnail_IMAG10_e47a774d-8148-48b1-b7f6-2d1d7cd19d43.jpg
667573,연놈,wed,https://shared-comic.pstatic.net/thumb/webtoon/667573/thumbnail/title_thumbnail_20151120112903_t83x90.jpg
671421,언덕 위의 제임스,wed,https://shared-comic.pstatic.net/thumb/webtoon/671421/thumbnail/thumbnail_IMAG10_51c242df-2c42-46e6-91d6-bbba062b3f21.jpg
